date,value
2023-01-02,1.3497
2023-01-09,1.5188
2023-01-16,1.3669
2023-01-23,1.464
2023-01-30,1.2711
2023-02-06,1.2421
2023-02-13,1.3797
2023-02-20,1.3342
2023-02-27,1.3848
2023-03-06,1.4255
2023-03-13,1.4016
2023-03-20,1.3312
2023-03-27,1.2711
2023-04-03,1.2557
2023-04-10,1.3816
2023-04-17,1.5268
2023-04-24,1.3514
2023-05-01,1.2298
2023-05-08,1.3286
2023-05-15,1.4224
2023-05-22,1.3593
2023-05-29,1.2118
2023-06-05,1.3351
2023-06-12,1.3855
2023-06-19,1.4118
2023-06-26,1.125
2023-07-03,1.2807
2023-07-10,1.3696
2023-07-17,1.5092
2023-07-24,1.4305
2023-07-31,1.1999
2023-08-07,1.4038
2023-08-14,1.2603
2023-08-21,1.2886
2023-08-28,1.2648
2023-09-04,1.3259
2023-09-11,1.4615
2023-09-18,1.191
2023-09-25,1.3719
2023-10-02,1.2907
2023-10-09,1.3614
2023-10-16,1.362
2023-10-23,1.2632
2023-10-30,1.3384
2023-11-06,1.3908
2023-11-13,1.1533
2023-11-20,1.3922
2023-11-27,1.2928
2023-12-04,1.41
2023-12-11,1.0465
2023-12-18,1.2464
2023-12-25,1.1986
2024-01-01,1.1779
2024-01-08,1.0481
2024-01-15,1.213
2024-01-22,1.2076
2024-01-29,1.1182
2024-02-05,1.1371
2024-02-12,1.3031
2024-02-19,1.2066
2024-02-26,1.3222
2024-03-04,1.4317
2024-03-11,1.2146
2024-03-18,1.2077
2024-03-25,1.0482
2024-04-01,1.0014
2024-04-08,1.1744
2024-04-15,1.1245
2024-04-22,1.2581
2024-04-29,1.2901
2024-05-06,1.1644
2024-05-13,1.2195
2024-05-20,1.0935
2024-05-27,1.2115
2024-06-03,1.0066
2024-06-10,1.2063
2024-06-17,1.271
2024-06-24,0.9476
2024-07-01,1.0651
2024-07-08,1.2142
2024-07-15,1.1902
2024-07-22,1.1829
2024-07-29,1.0378
2024-08-05,1.2907
2024-08-12,1.1789
2024-08-19,1.1595
2024-08-26,1.2189
2024-09-02,1.2
2024-09-09,1.1942
2024-09-16,1.1193
2024-09-23,1.0973
2024-09-30,0.9406
2024-10-07,1.2053
2024-10-14,1.282
2024-10-21,0.9792
2024-10-28,1.1508
2024-11-04,1.0958
2024-11-11,1.0224
2024-11-18,1.0483
2024-11-25,0.9222
2024-12-02,1.1681
2024-12-09,1.0735
2024-12-16,1.1379
2024-12-23,1.2201
