date,value
2023-01-02,2.3169
2023-01-09,2.1213
2023-01-16,2.161
2023-01-23,2.2885
2023-01-30,2.2476
2023-02-06,2.2168
2023-02-13,2.0791
2023-02-20,1.9892
2023-02-27,2.2044
2023-03-06,2.0772
2023-03-13,2.2841
2023-03-20,2.1977
2023-03-27,2.0602
2023-04-03,2.2182
2023-04-10,2.2904
2023-04-17,2.2166
2023-04-24,2.0786
2023-05-01,2.2413
2023-05-08,2.2616
2023-05-15,2.3376
2023-05-22,2.3283
2023-05-29,2.0898
2023-06-05,2.1573
2023-06-12,2.3289
2023-06-19,1.9893
2023-06-26,2.3666
2023-07-03,2.1301
2023-07-10,2.1987
2023-07-17,2.4845
2023-07-24,2.2643
2023-07-31,2.2347
2023-08-07,2.3282
2023-08-14,2.2779
2023-08-21,2.2041
2023-08-28,2.3415
2023-09-04,2.6305
2023-09-11,2.4539
2023-09-18,2.3877
2023-09-25,2.3666
2023-10-02,2.4537
2023-10-09,2.4336
2023-10-16,2.2175
2023-10-23,2.4281
2023-10-30,2.3658
2023-11-06,2.6214
2023-11-13,2.3383
2023-11-20,2.5638
2023-11-27,2.2086
2023-12-04,2.4349
2023-12-11,2.2873
2023-12-18,2.2684
2023-12-25,2.5238
2024-01-01,2.2645
2024-01-08,2.3973
2024-01-15,2.3187
2024-01-22,2.4894
2024-01-29,2.4776
2024-02-05,2.1173
2024-02-12,2.5532
2024-02-19,2.3626
2024-02-26,2.7612
2024-03-04,2.5986
2024-03-11,2.6155
2024-03-18,2.1251
2024-03-25,2.7471
2024-04-01,2.5001
2024-04-08,2.301
2024-04-15,2.5518
2024-04-22,2.7028
2024-04-29,2.2827
2024-05-06,3.8
2024-05-13,3.4
2024-05-20,3.0
2024-05-27,2.4795
2024-06-03,2.4261
2024-06-10,2.5829
2024-06-17,2.5961
2024-06-24,2.7181
2024-07-01,2.7767
2024-07-08,2.5301
2024-07-15,2.7411
2024-07-22,2.4188
2024-07-29,2.6884
2024-08-05,2.4402
2024-08-12,2.5245
2024-08-19,2.7014
2024-08-26,2.5107
2024-09-02,2.6964
2024-09-09,2.4176
2024-09-16,2.5326
2024-09-23,2.7202
2024-09-30,2.8674
2024-10-07,2.4852
2024-10-14,2.8899
2024-10-21,2.7042
2024-10-28,3.0017
2024-11-04,2.6335
2024-11-11,2.6099
2024-11-18,2.7369
2024-11-25,2.538
2024-12-02,2.7198
2024-12-09,2.6981
2024-12-16,2.9064
2024-12-23,2.7691
