date,value
2023-01-02,8646.54
2023-01-09,8932.41
2023-01-16,8199.76
2023-01-23,9231.53
2023-01-30,7407.36
2023-02-06,9211.24
2023-02-13,8664.15
2023-02-20,10003.55
2023-02-27,8236.0
2023-03-06,9468.17
2023-03-13,9324.39
2023-03-20,9911.65
2023-03-27,8477.58
2023-04-03,8623.52
2023-04-10,8384.87
2023-04-17,10106.58
2023-04-24,8547.61
2023-05-01,9295.39
2023-05-08,8755.21
2023-05-15,9985.43
2023-05-22,9947.15
2023-05-29,8616.44
2023-06-05,8138.28
2023-06-12,10526.0
2023-06-19,7886.86
2023-06-26,9319.61
2023-07-03,9777.5
2023-07-10,10458.1
2023-07-17,9249.25
2023-07-24,8041.05
2023-07-31,9632.41
2023-08-07,10764.9
2023-08-14,8651.91
2023-08-21,10531.08
2023-08-28,8676.91
2023-09-04,9631.98
2023-09-11,8381.24
2023-09-18,9511.86
2023-09-25,9727.49
2023-10-02,11017.93
2023-10-09,9379.59
2023-10-16,9123.14
2023-10-23,10145.24
2023-10-30,10329.95
2023-11-06,8971.6
2023-11-13,16907.82
2023-11-20,9862.32
2023-11-27,11267.82
2023-12-04,10189.9
2023-12-11,9500.76
2023-12-18,9553.66
2023-12-25,11487.34
2024-01-01,9562.41
2024-01-08,10164.11
2024-01-15,9938.71
2024-01-22,10505.8
2024-01-29,10632.27
2024-02-05,9308.97
2024-02-12,10252.62
2024-02-19,11383.37
2024-02-26,10933.57
2024-03-04,9532.35
2024-03-11,9908.82
2024-03-18,11405.26
2024-03-25,10404.75
2024-04-01,10848.2
2024-04-08,10544.77
2024-04-15,11604.1
2024-04-22,11037.35
2024-04-29,11709.25
2024-05-06,9669.65
2024-05-13,11710.97
2024-05-20,11001.74
2024-05-27,10629.04
2024-06-03,11470.11
2024-06-10,11640.65
2024-06-17,10064.68
2024-06-24,11227.41
2024-07-01,9073.48
2024-07-08,11683.97
2024-07-15,12221.38
2024-07-22,10849.89
2024-07-29,11081.3
2024-08-05,11528.28
2024-08-12,10918.03
2024-08-19,10879.42
2024-08-26,12112.63
2024-09-02,11624.58
2024-09-09,9406.66
2024-09-16,11340.9
2024-09-23,12060.21
2024-09-30,11950.39
2024-10-07,10102.96
2024-10-14,10586.98
2024-10-21,11524.5
2024-10-28,12160.8
2024-11-04,11357.48
2024-11-11,9951.54
2024-11-18,11087.93
2024-11-25,13107.3
2024-12-02,11309.85
2024-12-09,10888.63
2024-12-16,12168.72
2024-12-23,13364.36
