date,value
2023-01-02,409.0
2023-01-09,384.0
2023-01-16,387.0
2023-01-23,394.0
2023-01-30,360.0
2023-02-06,364.0
2023-02-13,367.0
2023-02-20,367.0
2023-02-27,325.0
2023-03-06,357.0
2023-03-13,344.0
2023-03-20,328.0
2023-03-27,325.0
2023-04-03,336.0
2023-04-10,316.0
2023-04-17,304.0
2023-04-24,342.0
2023-05-01,360.0
2023-05-08,334.0
2023-05-15,359.0
2023-05-22,330.0
2023-05-29,315.0
2023-06-05,302.0
2023-06-12,320.0
2023-06-19,377.0
2023-06-26,335.0
2023-07-03,295.0
2023-07-10,341.0
2023-07-17,331.0
2023-07-24,330.0
2023-07-31,327.0
2023-08-07,324.0
2023-08-14,339.0
2023-08-21,308.0
2023-08-28,333.0
2023-09-04,368.0
2023-09-11,419.0
2023-09-18,388.0
2023-09-25,408.0
2023-10-02,384.0
2023-10-09,302.0
2023-10-16,358.0
2023-10-23,367.0
2023-10-30,347.0
2023-11-06,295.0
2023-11-13,332.0
2023-11-20,320.0
2023-11-27,349.0
2023-12-04,369.0
2023-12-11,356.0
2023-12-18,314.0
2023-12-25,360.0
2024-01-01,420.0
2024-01-08,424.0
2024-01-15,376.0
2024-01-22,377.0
2024-01-29,362.0
2024-02-05,352.0
2024-02-12,391.0
2024-02-19,372.0
2024-02-26,357.0
2024-03-04,310.0
2024-03-11,326.0
2024-03-18,343.0
2024-03-25,356.0
2024-04-01,298.0
2024-04-08,361.0
2024-04-15,312.0
2024-04-22,309.0
2024-04-29,365.0
2024-05-06,324.0
2024-05-13,347.0
2024-05-20,364.0
2024-05-27,354.0
2024-06-03,311.0
2024-06-10,324.0
2024-06-17,323.0
2024-06-24,348.0
2024-07-01,347.0
2024-07-08,366.0
2024-07-15,352.0
2024-07-22,364.0
2024-07-29,336.0
2024-08-05,335.0
2024-08-12,308.0
2024-08-19,335.0
2024-08-26,318.0
2024-09-02,354.0
2024-09-09,436.0
2024-09-16,381.0
2024-09-23,362.0
2024-09-30,349.0
2024-10-07,334.0
2024-10-14,342.0
2024-10-21,367.0
2024-10-28,314.0
2024-11-04,324.0
2024-11-11,316.0
2024-11-18,331.0
2024-11-25,405.0
2024-12-02,386.0
2024-12-09,389.0
2024-12-16,306.0
2024-12-23,304.0
