date,value
2023-01-02,400.0
2023-01-09,424.0
2023-01-16,365.0
2023-01-23,364.0
2023-01-30,381.0
2023-02-06,400.0
2023-02-13,403.0
2023-02-20,412.0
2023-02-27,421.0
2023-03-06,401.0
2023-03-13,429.0
2023-03-20,447.0
2023-03-27,614.0
2023-04-03,457.0
2023-04-10,487.0
2023-04-17,414.0
2023-04-24,482.0
2023-05-01,403.0
2023-05-08,434.0
2023-05-15,467.0
2023-05-22,478.0
2023-05-29,459.0
2023-06-05,460.0
2023-06-12,480.0
2023-06-19,444.0
2023-06-26,462.0
2023-07-03,422.0
2023-07-10,397.0
2023-07-17,380.0
2023-07-24,491.0
2023-07-31,466.0
2023-08-07,431.0
2023-08-14,428.0
2023-08-21,431.0
2023-08-28,413.0
2023-09-04,423.0
2023-09-11,437.0
2023-09-18,483.0
2023-09-25,647.0
2023-10-02,406.0
2023-10-09,489.0
2023-10-16,481.0
2023-10-23,461.0
2023-10-30,459.0
2023-11-06,473.0
2023-11-13,464.0
2023-11-20,438.0
2023-11-27,517.0
2023-12-04,489.0
2023-12-11,475.0
2023-12-18,439.0
2023-12-25,432.0
2024-01-01,494.0
2024-01-08,476.0
2024-01-15,483.0
2024-01-22,438.0
2024-01-29,471.0
2024-02-05,434.0
2024-02-12,459.0
2024-02-19,471.0
2024-02-26,515.0
2024-03-04,452.0
2024-03-11,442.0
2024-03-18,493.0
2024-03-25,699.0
2024-04-01,433.0
2024-04-08,497.0
2024-04-15,513.0
2024-04-22,471.0
2024-04-29,487.0
2024-05-06,508.0
2024-05-13,505.0
2024-05-20,482.0
2024-05-27,478.0
2024-06-03,495.0
2024-06-10,504.0
2024-06-17,481.0
2024-06-24,467.0
2024-07-01,508.0
2024-07-08,515.0
2024-07-15,521.0
2024-07-22,481.0
2024-07-29,541.0
2024-08-05,565.0
2024-08-12,473.0
2024-08-19,506.0
2024-08-26,516.0
2024-09-02,440.0
2024-09-09,488.0
2024-09-16,465.0
2024-09-23,486.0
2024-09-30,462.0
2024-10-07,487.0
2024-10-14,499.0
2024-10-21,494.0
2024-10-28,540.0
2024-11-04,502.0
2024-11-11,527.0
2024-11-18,522.0
2024-11-25,506.0
2024-12-02,506.0
2024-12-09,537.0
2024-12-16,534.0
2024-12-23,550.0
