date,value
2023-01-02,12243.77
2023-01-09,11324.44
2023-01-16,12912.11
2023-01-23,13217.04
2023-01-30,11052.76
2023-02-06,11715.72
2023-02-13,12997.3
2023-02-20,12772.17
2023-02-27,13133.43
2023-03-06,12576.86
2023-03-13,14065.21
2023-03-20,14075.74
2023-03-27,21060.04
2023-04-03,14505.63
2023-04-10,14036.03
2023-04-17,13021.51
2023-04-24,14039.87
2023-05-01,13003.1
2023-05-08,14488.29
2023-05-15,13751.65
2023-05-22,13641.36
2023-05-29,13234.75
2023-06-05,14741.48
2023-06-12,13618.68
2023-06-19,13374.71
2023-06-26,13408.27
2023-07-03,14087.36
2023-07-10,13925.75
2023-07-17,13937.2
2023-07-24,13928.44
2023-07-31,15278.34
2023-08-07,13226.9
2023-08-14,13136.23
2023-08-21,12897.07
2023-08-28,14052.03
2023-09-04,14483.54
2023-09-11,13521.0
2023-09-18,12983.09
2023-09-25,20228.08
2023-10-02,14297.12
2023-10-09,14449.97
2023-10-16,14380.55
2023-10-23,13515.97
2023-10-30,14347.74
2023-11-06,14379.69
2023-11-13,14595.59
2023-11-20,15261.19
2023-11-27,14894.44
2023-12-04,15417.22
2023-12-11,15092.48
2023-12-18,15438.55
2023-12-25,15884.3
2024-01-01,14387.36
2024-01-08,15471.54
2024-01-15,15524.16
2024-01-22,15560.13
2024-01-29,16018.15
2024-02-05,17596.22
2024-02-12,15863.38
2024-02-19,17479.1
2024-02-26,15498.29
2024-03-04,16707.59
2024-03-11,17226.68
2024-03-18,17675.94
2024-03-25,27707.04
2024-04-01,18029.6
2024-04-08,17193.09
2024-04-15,17168.16
2024-04-22,18279.49
2024-04-29,17484.64
2024-05-06,16651.8
2024-05-13,16791.21
2024-05-20,16979.47
2024-05-27,18122.63
2024-06-03,17842.53
2024-06-10,18279.66
2024-06-17,17380.46
2024-06-24,17841.72
2024-07-01,18207.03
2024-07-08,17451.18
2024-07-15,18058.03
2024-07-22,17160.26
2024-07-29,17401.13
2024-08-05,17393.83
2024-08-12,16757.27
2024-08-19,18126.43
2024-08-26,17393.43
2024-09-02,17821.1
2024-09-09,18248.65
2024-09-16,18285.6
2024-09-23,18536.8
2024-09-30,18013.86
2024-10-07,17854.31
2024-10-14,18241.52
2024-10-21,17079.58
2024-10-28,17407.29
2024-11-04,17653.17
2024-11-11,18069.96
2024-11-18,19353.22
2024-11-25,18482.88
2024-12-02,19085.71
2024-12-09,20614.52
2024-12-16,19481.65
2024-12-23,20551.49
